retweets,likes,Software,Cloud,Work,Humor,Woman,Partnership,Community,Improvement,eps,sentiment,prev_day_change,change_lead
0.0,4.3844265170115746e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
0.00033966109370872177,0.0001534549280954051,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,0
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1
0.00022644072913914783,0.00010961066292528937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02257332981391129,1.0,0,1
0.00018870060761595652,0.0001205717292178183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02257332981391129,1.0,1,1
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
0.0,4.3844265170115746e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
0.0,2.1922132585057873e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
0.011322036456957391,0.0015235882146615223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,1
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
0.000490621579801487,0.00013153279551034723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,1
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0,3.2883198877586806e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1
0.0,2.1922132585057873e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,1
0.002679548628146583,0.0004713258505787443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02257332981391129,0.5,1,0
0.0,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,5.4805331462644686e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.001245424010265313,0.0002082602595580498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,0,0
0.0,3.2883198877586806e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1,0
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0,6.576639775517361e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,1
